n,size,misses
2,5,4
3,4,10
4,5,16
5,19,28
6,10,39
7,34,53
8,47,68
9,20,84
10,69,104
11,86,124
12,34,145
13,115,171
14,136,196
15,55,222
16,172,254
17,197,284
18,81,315
19,240,353
20,269,388
21,112,424
22,319,468
23,352,508
24,148,549
25,409,599
26,446,644
27,189,690
28,510,746
29,551,796
30,235,847
31,622,909
32,667,964
33,286,1020
34,745,1088
35,794,1148
36,342,1209
37,879,1283
38,932,1348
39,403,1414
40,1024,1494
41,1081,1564
42,469,1635
43,1180,1721
44,1241,1796
45,540,1872
46,1347,1964
47,1412,2044
48,616,2125
49,1525,2223
50,1594,2308
51,697,2394
52,1714,2498
53,1787,2588
54,783,2679
55,1914,2789
56,1991,2884
57,874,2980
58,2125,3096
59,2206,3196
60,970,3297
61,2347,3419
62,2432,3524
63,1071,3630
64,2580,3758
65,2669,3868
66,1177,3979
67,2824,4113
68,2917,4228
69,1288,4344
70,3079,4484
71,3176,4604
72,1404,4725
73,3345,4871
74,3446,4996
75,1525,5122
76,3622,5274
77,3727,5404
78,1651,5535
79,3910,5693
80,4019,5828
81,1782,5964
82,4209,6128
83,4322,6268
84,1918,6409
85,4519,6579
86,4636,6724
87,2059,6870
88,4840,7046
89,4961,7196
90,2205,7347
91,5172,7529
92,5297,7684
93,2356,7840
94,5515,8028
95,5644,8188
96,2512,8349
97,5869,8543
98,6002,8708
99,2673,8874
100,6234,9074
101,6371,9244
102,2839,9415
103,6610,9621
104,6751,9796
105,3010,9972
106,6997,10184
107,7142,10364
108,3186,10545
109,7395,10763
110,7544,10948
111,3367,11134
112,7804,11358
113,7957,11548
114,3553,11739
115,8224,11969
116,8381,12164
117,3744,12360
118,8655,12596
119,8816,12796
120,3940,12997
121,9097,13239
122,9262,13444
123,4141,13650
124,9550,13898
125,9719,14108
126,4347,14319
127,10014,14573
128,10187,14788
129,4558,15004
130,10489,15264
131,10666,15484
132,4774,15705
133,10975,15971
134,11156,16196
135,4995,16422
136,11472,16694
137,11657,16924
138,5221,17155
139,11980,17433
140,12169,17668
141,5452,17904
